id	lastName	givenName1	givenName2	dateOfBirth	sex	country	isAlive	locality	postcode	originalContext	recordDate
3r8-x5v	CLANTON	RUDY	VIRGILIO	1991-04-22	M	Brazil	Y	Brazil		null	1998-04-27
pq5-r7x	BRINKERHOFF	LEOLA	LEONA	1944-07-08	F	Australia	N	Robina	4226	null	2006-08-24
mdd-wbi	LOUGHLIN	MARLO	LUE	1950-04-01	F	Turkey	Y	Turkey		null	2009-03-06
vm0-fwi	ENGEL	WILLIAMS	MOSE	1967-06-02	M	Australia	Y	Wolli Creek	2205	null	2014-03-25
y5a-xu5	WILKENS	ERNESTINA	RASHIDA	1976-02-25	F	Australia	Y	Deeragun	4818	null	2003-12-06
02a-547	SPILLERS	ALTA	JEANIE	1947-07-05	F	Australia	N	Ringwood North	3134	null	2014-06-07
v6p-mbs	MAEDA	ARLEN	EFREN	1940-10-21	M	Australia	N	Taperoo	5017	null	2009-01-02
3gn-jku	JOWERS	HOUSTON	DYLAN	1977-09-11	M	Indonesia	Y	Indonesia		null	2016-06-20
2e7-20o	JOHNSON	SOLOMON	ELISHA	1978-08-15	M	Australia	Y	Gailes	4300	null	2007-08-25
9mx-60x	WINCHESTER	ALTA	VELDA	1962-10-09	F	Australia	Y	Wynnum	4178	null	2013-12-11
drb-tmm	TITTLE	DAMIAN	MOSHE	1989-04-27	M	Australia	Y	Wondunna	4655	null	2012-10-14
zfp-6tq	CYRUS	BERNITA	ROSALINE	1984-12-26	F	Equatorial Guinea	Y	Equatorial Guinea		null	2015-03-07
20u-c85	TYRRELL	MIKE	HOYT	1987-05-18	M	Australia	N	Killcare	2257	null	2005-05-15
4o9-zzy	PEEK	HAROLD	LACY	1989-12-05	M	Australia	Y	Bellbird Heights	2325	null	2004-12-21
h78-iv4	BROUWER	WILLIAM	ANTONETTE	1977-03-24	F	Australia	Y	Guanaba	4210	null	2005-03-04
pr0-x4n	SOUTHALL	ASHA	KIMBERLEY	1964-11-27	F	Australia	Y	North Arm (Qld)	4561	null	2004-10-25
fry-eze	GILKEY	NOBLE	WILMER	1983-06-23	M	Estonia	Y	Estonia		null	2000-02-19
xxr-rw9	WASSERMAN	JERROD	BERNIE	1987-07-23	M	Australia	Y	Merrimac	4226	null	2001-08-23
hjd-8zb	EDWARDS	DOMENIC	SYDNEY	1987-02-11	M	Australia	Y	Highbury (SA)	5089	null	1998-03-20
zss-858	HOUCK	MARGE	SHIRLENE	1976-01-09	F	Mexico	Y	Mexico		null	2017-05-25
iv0-r2f	HUTCHERSON	LAN	ELISE	1945-12-11	F	Australia	N	Mount Martha	3934	null	2009-11-08
ndr-n0i	REINHOLD	REED	JAN	1957-04-14	M	Australia	Y	Five Dock	2046	null	2000-05-15
8fr-dkj	NEWSOME	REY	DIRK	1996-01-17	M	Chile	Y	Chile		null	2000-09-27
0bd-wcg	FAULK	ZOE	ZENA	1953-03-17	F	Australia	Y	Northcote	3070	null	2006-08-02
dr7-x8x	MARCO	JEANNA	DESIREE	1983-07-11	F	Jamaica	Y	Jamaica		null	2007-02-21
wa0-px4	TRUETT	JOSEFA	SIERRA	1992-08-02	F	Australia	Y	Toowong	4066	null	2017-03-13
ptc-pe5	CROMWELL	LYNWOOD	MARTY	1958-01-23	M	Australia	Y	Lobethal	5241	null	2000-08-24
3tg-f70	CHALK	JEFFRY	EDWARD	1950-08-06	M	Australia	Y	Fulham (SA)	5024	null	2008-11-14
yij-57w	BLY	WILLIAM	MOLLY	1997-05-26	F	Australia	Y	Austral	2179	null	2009-09-11
ear-4t3	GARY	LOGAN	NATHAN	1961-09-26	M	Australia	Y	Glendale (NSW)	2285	null	2008-09-26
vt0-jzk	GRIFFITHS	BRITTANI	SUSIE	1980-03-22	F	Australia	Y	River Ranch	4680	null	2011-07-05
8fy-gxz	LAM	LANE	HUNTER	1942-03-11	M	Australia	Y	Kensington (NSW)	2033	null	1998-02-27
bsk-fnr	LILES	CLAUDIO	RICHIE	1971-07-27	M	Australia	Y	Town Common	4818	null	2007-01-23
7u0-mm2	MILLION	KATE	ZELLA	2004-01-27	F	Australia	Y	Wattle Flat (NSW)	2795	null	2012-03-11
ouf-9a7	PENDERGRAFT	SHANNON	DORENE	1934-04-06	F	Australia	Y	Duncraig	6023	null	2001-02-02
e3t-i6n	JEWETT	SHON	ERWIN	1982-08-02	M	Australia	Y	Enmore (Marrickville - NSW)	2042	null	2015-03-27
a3p-8mw	LI	ALECIA	INGE	1991-04-05	F	Australia	Y	Mount Helena	6082	null	2008-09-17
tog-n68	SIEVERS	ROSALEE	KIA	2005-08-11	F	Australia	Y	Mysterton	4812	null	2010-03-01
cyg-02o	AYCOCK	ALDO	WARD	1955-06-17	M	Australia	Y	Clifton Grove	2800	null	2010-01-11
jdh-gd7	DURDEN	ZENA	WILMA	1966-10-14	F	Australia	Y	Zetland	2017	null	2012-08-14
2k2-54i	STERN	CLAUD	LYNN	1970-03-04	M	Poland	N	Poland		null	2016-02-24
c57-fwy	BEVINS	SEYMOUR	ADOLFO	1947-03-01	M	South Korea	Y	South Korea		null	2000-08-22
37x-yzx	JUNKER	JULIO	SHAD	1974-09-07	M	Australia	Y	Kuluin	4558	null	2016-05-14
jxu-seq	FRANZ	DARIUS	DOUGLAS	1943-06-20	M	Australia	N	Floraville	2280	null	2007-10-14
u6i-agq	MAUCK	PORFIRIO	TOM	2001-07-23	M	Australia	Y	Mawson Lakes	5095	null	2009-09-11
dih-asq	HUBER	GEMMA	RONNA	1997-03-18	F	Australia	Y	Murrabit	3579	null	2002-09-13
fi9-fse	BUFFINGTON	MAZIE	KRYSTAL	1979-06-04	F	Australia	Y	Eulomogo	2830	null	2011-12-12
imx-8zy	VANSANT	GRADY	RANDOLPH	1969-03-18	M	Australia	Y	Merrimac	4226	null	2016-04-05
kfm-u9z	BIRD	LATONYA	MA	1961-11-04	F	Australia	Y	Chadstone	3148	null	2012-12-23
2jr-8oz	ROGGE	MODESTO	GUY	1939-06-23	M	Australia	Y	Grays Point	2232	null	1998-03-28
rir-837	THORNHILL	MAYNARD	MASON	1946-06-15	M	Australia	Y	Miami	4220	null	2002-02-20
nf9-6ck	LIPINSKI	CARROLL	MARTIN	1990-12-18	M	Australia	Y	Sunset	4825	null	2017-07-11
aya-hr3	PITRE	COLLIN	TIM	1999-11-05	M	Australia	Y	Nundah	4012	null	2006-10-26
5jb-ysi	GRIGG	BRUNO	OSVALDO	1989-07-24	M	Australia	Y	Mosman	2088	null	2005-10-23
fsu-gpd	BEHAN	IMA	PRECIOUS	1971-02-08	F	Austria	Y	Austria		null	2004-10-07
oh6-i5d	VANZANT	PATRICIA	DAVIS	1945-10-16	M	Australia	Y	Wheelers Hill	3150	null	2006-07-02
k3a-8nf	FLOWERS	HOLLY	SHARI	1933-03-18	F	Australia	N	Loftus	2232	null	2001-05-09
nav-hji	GARRITY	CLARA	ARLINE	1960-03-04	F	Australia	Y	Bunglegumbie	2830	null	2001-02-14
r2y-zp9	BRYAN	CAROLEE	SANTA	1975-10-23	F	Australia	N	Salisbury North	5108	null	2010-04-25
bj4-n2s	EILERS	KING	LAVERNE	1978-02-08	M	Australia	Y	Kanwal	2259	null	1998-10-06
g2f-axg	KUMAR	DREW	THAD	1963-08-08	M	Australia	Y	Canley Heights	2166	null	2011-01-05
hcb-o33	BREWINGTON	DELMER	CONNIE	1983-09-07	M	Australia	Y	Marrickville	2204	null	2013-05-07
3nj-2kx	LEONG	EMILIE	SOCORRO	1985-03-26	F	Afghanistan	N	Afghanistan		null	2011-03-21
uk4-j0t	STROTHER	DOUGLAS	VERN	1959-12-02	M	Australia	Y	Salisbury (SA)	5108	null	2013-11-19
r30-86u	ROSEBERRY	WM	ELTON	1964-01-21	M	Honduras	Y	Honduras		null	2015-11-28
kh8-j0u	AUER	DORSEY	BRYON	1964-09-13	M	Australia	Y	Lundavra	4390	null	2016-12-02
9oa-kti	CARTWRIGHT	EMORY	GIOVANNI	1974-02-09	M	Australia	Y	Casuarina (NSW)	2487	null	2000-05-25
fta-77w	CROWSON	TYRONE	FREDERIC	1952-01-01	M	Australia	Y	Kin Kora	4680	null	2007-09-11
hsu-dm5	HIGHT	EFREN	DORIAN	2003-11-11	M	Australia	Y	Ironbark (Vic.)	3550	null	2007-03-19
mm0-m9o	KINGSTON	REINALDO	TERRENCE	1946-08-27	M	Australia	Y	Perth (WA)	6000	null	1998-08-15
qyv-a46	TOLER	HORTENSIA	ZORA	1994-06-20	F	Australia	Y	Mulgrave (Vic.)	3170	null	2000-09-12
jea-wim	RAO	GLADIS	WILMA	1967-07-05	F	Australia	Y	Euabalong	2877	null	2001-02-27
5qd-og7	BELLEW	ALYCE	ALETA	1979-10-26	F	Australia	Y	Riverton (WA)	6148	null	2016-01-18
q26-2vk	MARTZ	RENATA	KAROLYN	1984-09-24	F	Australia	Y	West Melbourne	3003	null	2016-10-15
25m-e7a	RAWSON	NILDA	SHAWNA	1983-09-13	F	Australia	Y	Sutherland (NSW)	2232	null	2008-11-27
pd3-mar	FALCONE	SAMMIE	KRISTIN	1987-07-04	F	Australia	Y	North Arm Cove	2324	null	2017-11-25
tiv-5zw	SUBLETT	AVERY	CLEMENT	1993-09-13	M	Australia	Y	Rochedale	4123	null	2000-01-09
3dm-ri6	LEVAN	RHETT	HARLAND	1963-05-24	M	Australia	Y	Mulgrave (Vic.)	3170	null	2011-10-20
mz4-bxz	WELSCH	LYNDON	TED	1937-01-27	M	Australia	N	Beachport	5280	null	2003-09-26
di2-9ta	STALNAKER	RANDY	FREDRIC	1983-09-11	M	Australia	Y	Preston (Vic.)	3072	null	2007-07-18
ghc-9m8	MCELWEE	MICHELL	FANNY	2011-02-28	F	Australia	Y	Monbulk	3793	null	2017-03-27
730-ie9	BYNUM	ZACHARY	DARYL	2013-08-22	M	Australia	Y	Lang Lang	3984	null	2017-01-17
wis-tpk	NUSS	MORGAN	LUCIANO	1996-05-22	M	Australia	Y	Chandler (Qld)	4157	null	2003-12-20
if2-88e	MCCOMBS	CARLOS	ANDRES	1939-02-06	M	Australia	Y	Town Common	4810	null	2002-09-11
njz-ks4	PARK	HORACE	MURRAY	1991-09-16	M	Australia	Y	Lynbrook	3975	null	2008-05-09
8md-fgt	POHL	BENTON	SILAS	1987-09-20	M	Australia	Y	Moorabbin Airport	3194	null	2017-09-25
ged-c97	TINDELL	IDA	FANNY	1944-02-25	F	Australia	Y	East Rockingham	6168	null	2000-04-07
0i6-0fs	PASQUALE	SADE	PATRICIA	1987-03-11	F	Australia	Y	Brighton East	3187	null	2017-03-14
gth-jyi	BRANNAN	ODESSA	NORA	1934-05-10	F	Australia	Y	Darlinghurst	2010	null	2002-10-22
9ik-8fd	WHITT	INDIA	ALINE	1963-08-16	F	Australia	Y	Portsmith	4870	null	1999-05-14
4bv-bn3	HARMER	JAMEY	SHELTON	1957-06-03	M	Australia	Y	Glenwood (NSW)	2768	null	1998-12-04
d2q-jnh	SHARPE	LAVADA	FLORENE	1960-02-03	F	Australia	Y	Doonside	2767	null	2004-03-28
9k0-0g4	KEMPF	SHAMEKA	LEANN	1989-03-21	F	Australia	Y	Prahran	3181	null	2002-09-03
9wn-imf	WELLS	SELMA	ADRIANE	1993-07-23	F	Australia	Y	Northcote	3070	null	2014-12-04
c9f-mcr	LACOUR	RODGER	LOU	1969-05-12	M	Australia	Y	Mount Gravatt East	4122	null	2000-04-21
8nt-4gj	COBB	NIGEL	RODERICK	1999-04-06	M	Australia	Y	Martin	6110	null	2005-04-11
5xq-uk2	FARRAR	PANSY	CECILIA	1974-11-12	F	Australia	Y	Belfield	2191	null	1999-09-28
sad-r0w	HAMLETT	ISAIAS	WILBUR	1989-02-12	M	Australia	Y	Blacks Beach	4740	null	2008-07-09
gs3-7qi	DEGEORGE	HELLEN	PAT	1968-09-16	F	Australia	Y	Kuitpo	5172	null	2017-09-18
avs-tsa	PELL	AGUSTINA	DINAH	1975-09-18	F	Australia	Y	Bondi Beach	2026	null	2008-10-21
fna-iuo	MACKAY	SUN	MARYLEE	1965-10-09	F	Australia	Y	Endeavour Hills	3802	null	2004-01-10
0j5-ttk	STRACHAN	CAROLINA	LUPITA	1992-04-04	F	Australia	Y	Point Cook	3030	null	2007-06-10
fer-4k6	HARNEY	SANTIAGO	CLAUDIO	1931-10-27	M	Australia	N	Ripplebrook	3818	null	2000-11-23
qg6-7ic	MORROW	LULA	ANDRA	1965-11-03	F	Australia	Y	Hazelwood North	3840	null	2009-02-19
zqp-99r	BRATTON	FLORENCE	DELILAH	1957-08-25	F	Australia	Y	Nerrina	3350	null	1999-11-06
3z6-g03	ANDRE	EUGENIO	OWEN	2005-09-22	M	Australia	Y	Parklands (Qld)	4560	null	2014-02-10
bzr-rjd	EAMES	CORINNE	KARRI	1958-10-26	F	Samoa	Y	Samoa		null	2005-05-11
y43-2b0	PENCE	MARILYN	MAJORIE	1977-05-06	F	Australia	Y	Beenleigh	4207	null	2010-05-26
was-pab	TESTER	TERRENCE	LINCOLN	1990-04-28	M	Australia	Y	Altona Meadows	3028	null	2000-01-16
xip-o47	GLISSON	JACQUELYN	BETTIE	1992-04-10	F	Australia	Y	Alva	4807	null	2015-03-24
m4n-bf0	ROLLINS	RICHELLE	JILLIAN	1946-01-26	F	Australia	Y	Seville East	3139	null	2011-07-25
iqw-7f3	LAWYER	PHILLIP	DOMINGO	1945-10-18	M	Eritrea	Y	Eritrea		null	2000-01-03
e9n-50m	STALLARD	FRANKLIN	HIPOLITO	1980-07-17	M	Australia	Y	Hodgson Vale	4352	null	2015-02-24
eer-52g	THEOBALD	LOU	LETITIA	1998-04-23	F	Australia	Y	Victoria Point (Qld)	4165	null	2011-10-10
jw6-xgp	MCMASTER	IRA	JACOB	2000-10-18	M	Cambodia	Y	Cambodia		null	2004-07-24
wxk-fco	GLENN	JEROME	RICKIE	1957-05-08	M	Greece	Y	Greece		null	2005-03-22
vp2-fiw	BOERNER	KING	FRANKLIN	2011-09-22	M	Nicaragua	Y	Nicaragua		null	2017-07-16
psq-h8w	ERNST	BROOK	MADELINE	1966-12-08	F	Australia	Y	Tweed Heads	2485	null	2014-08-11
bde-g4x	PATTERSON	TRACI	JANELL	1973-04-18	F	Australia	N	Greenacre	2190	null	2006-08-20
ffh-c6n	GARR	FLORENTINO	BRANDON	1992-10-05	M	Australia	Y	Carlingford	2118	null	1998-10-20
tdr-jtz	VENEZIA	KAMI	MELODIE	1958-03-02	F	Australia	N	Wodonga	3690	null	2017-06-22
xeu-m4d	FERN	CLETUS	CHADWICK	1962-03-06	M	Australia	Y	Coochiemudlo Island	4184	null	2008-02-25
by7-og2	SAUVE	LUIS	MITCH	1990-10-07	M	Australia	Y	Valla Beach	2448	null	2013-01-19
hz2-m4h	WYNNE	JOANNA	GERRY	1986-05-07	F	Australia	Y	Berserker	4701	null	2010-08-22
mp7-kov	HEIDER	VAN	PETE	1952-03-10	M	Australia	Y	Brookfield (Vic.)	3338	null	2004-03-17
ybk-nby	GUICE	CINDI	ELISE	1983-12-05	F	Australia	Y	Hocking	6065	null	2001-05-14
8os-thr	RUBINO	IAN	WARD	2003-12-02	M	Australia	Y	Wilsonton	4350	null	2007-08-11
xcs-hav	GONCALVES	JACALYN	SAMMIE	1980-05-10	F	Australia	Y	Bundall	4217	null	2011-04-17
nqh-dd6	BURKART	NOEL	LILIA	2012-01-09	F	Australia	Y	Sylvania	2224	null	2016-01-05
nvu-rok	FLECK	FIDEL	LAUREN	1964-05-25	M	Australia	Y	Lower Beechmont	4211	null	2013-01-21
iub-5g7	PINNEY	DARIN	VICTOR	2009-01-23	M	Australia	Y	Benowa	4217	null	2015-05-04
hmm-xgs	INGLE	MORGAN	JONATHAN	1970-09-27	M	Australia	Y	Brunswick (Vic.)	3056	null	1999-01-11
hye-8p5	PATTY	BRENTON	AUGUSTUS	1982-03-01	M	Jamaica	Y	Jamaica		null	2012-04-17
io3-3ns	WONG	MIREYA	JENNA	1965-06-10	F	Australia	Y	Alice Springs	0870	null	2006-09-28
k7o-qo7	BURKE	LEE	CHI	1944-06-27	M	Australia	N	Hazelbrook	2779	null	2007-08-24
fv3-f6a	DURST	DELORIS	MARCELINA	1940-01-04	F	Australia	Y	Kings Langley	2147	null	2008-11-04
cna-yti	LOCKARD	NATHALIE	LULU	1993-04-07	F	Australia	Y	West Beach (SA)	5024	null	1998-01-27
z5g-y4s	LEAHY	EMILIA	ESSIE	1973-09-10	F	Australia	Y	Mullaquana	5600	null	2005-11-09
iei-z20	HAMMACK	GASTON	ELDRIDGE	1980-10-08	M	Australia	Y	Smithfield (SA)	5114	null	2011-09-19
u77-xh9	DOOLIN	ALBERTHA	VERONICA	1949-09-15	F	Australia	Y	Ballarat Central	3350	null	2008-01-12
7ms-vz6	EMMONS	JONNIE	HOPE	1952-08-23	F	Australia	Y	Beerwah	4519	null	1998-08-04
m79-tpx	HIRT	ANDERSON	ARRON	1990-07-07	M	Australia	Y	St George (Qld)	4487	null	2016-06-17
a9w-v5u	DARNELL	SANTOS	GILBERT	1943-04-20	M	Australia	Y	Ballendella	3561	null	1998-01-17
wtv-jwd	CARSON	GREGORIO	ARRON	1993-06-14	M	Nigeria	Y	Nigeria		null	2013-10-18
5pw-h62	GOUVEIA	GABRIELA	PAUL	1978-06-23	F	Lebanon	Y	Lebanon		null	2013-05-19
zte-4qs	OROURKE	RAYMOND	BUD	1980-10-28	M	Australia	Y	Bray Park (Qld)	4500	null	2017-08-11
syo-r4k	LIBBY	VERNICE	KARLA	1938-08-08	F	Australia	N	Hope Valley (SA)	5090	null	2002-07-10
3n0-rwp	NEWHOUSE	LIA	RUBY	1984-09-27	F	Australia	Y	Castlemaine	3450	null	2002-06-01
z5s-fvq	TERHUNE	CLINTON	CLARK	1981-06-01	M	Australia	Y	Moodlu	4510	null	2002-07-09
a27-kbr	CONNELL	ADA	ALENE	1939-04-21	F	Australia	N	Newington (Vic.)	3350	null	2007-07-07
2cm-jn2	BOBBITT	HAYLEY	SONIA	1943-04-27	F	Australia	Y	Hammondville	2170	null	2003-02-24
zir-j25	FRASER	DALE	VICENTE	1945-07-23	M	Australia	Y	Coorparoo	4151	null	2000-03-20
ic6-a43	LOWERY	JAKE	ROLLAND	1980-08-07	M	Australia	Y	Lilydale (Vic.)	3140	null	1998-04-23
wbt-cw5	ECKARD	ROCCO	JEWEL	2001-12-25	M	Burkina Faso	Y	Burkina Faso		null	2011-03-09
4nb-djh	HENDLEY	GERALD	FREDDY	1990-07-13	M	Australia	Y	Jolimont	6014	null	1999-06-15
zo2-zci	LIGHTNER	DARRYL	WES	1956-11-24	M	Australia	Y	Numinbah Valley	4211	null	1998-06-01
jpu-7mh	CARRIGAN	GAYLA	LEANNE	1974-06-15	F	South Korea	Y	South Korea		null	2004-09-18
w86-gom	DALESSANDRO	ALEXIS	WILLIE	1985-07-19	M	Australia	Y	Oakenden	4741	null	2007-08-04
88i-fmc	LARGENT	MARKUS	SOLOMON	1984-03-20	M	Australia	Y	St George (Qld)	4487	null	2015-05-28
vcx-pho	MCGLYNN	ILIANA	LYNNETTE	1999-01-09	F	Australia	Y	Empire Bay	2257	null	2014-06-26
qgo-z6p	WELTON	ELIAS	BURL	1960-01-18	M	Cambodia	N	Cambodia		null	2016-05-14
d5x-p5x	FORTNER	KEN	VITO	1976-06-08	M	Australia	Y	Oxley Vale	2340	null	2008-03-07
