id	lastName	givenName1	givenName2	dateOfBirth	sex	countryOfCitizenship	isAlive	nominalLocality	nominalPostcode	recordDate
t8m-exx	WESLEY	FLORINE	TRISTA	1994-05-22	F	Turkey	Y	Turkey		2011-01-04
mk5-ieg	WARR	ROSLYN	TRICIA	2004-08-25	F	Australia	Y	Hall	2618	2011-06-05
0r6-mjj	COCKRUM	VALORIE	JONNA	1993-11-10	F	Australia	Y	Docklands	3008	2006-04-21
c6q-mnh	BRAMAN	TIA	CORTNEY	1979-05-01	F	Australia	Y	Commissariat Point	5710	2004-09-23
tnr-evy	TYRE	AVA	HATTIE	1993-06-05	F	Lebanon	Y	Lebanon		2007-03-04
cbb-b36	MELLO	HANK	TIM	1981-06-06	M	Singapore	Y	Singapore		2015-06-27
jfj-27x	FULK	WILLARD	SYLVESTER	1968-10-07	M	Equatorial Guinea	Y	Equatorial Guinea		1998-03-22
uux-v8f	BEAM	ALPHONSO	CODY	2005-03-09	M	Australia	N	Invergordon (Vic.)	3636	2017-03-12
bff-7jw	BRAUER	RUBY	JANETTE	2000-06-04	F	Australia	Y	Jamestown	5491	2010-12-28
bmi-0ym	HAMPSON	ARIEL	GARRET	1988-03-03	M	Australia	Y	Thomastown	3074	2014-12-16
spw-tx0	THOME	OCTAVIO	GRADY	1943-10-07	M	Australia	N	Corny Point	5575	2009-05-13
thf-omo	YOUNGER	BRYANT	TONEY	1965-06-03	M	Norway	Y	Norway		2002-02-10
2iv-sh9	REDING	ERIN	ELIJAH	1987-05-06	M	Australia	Y	Kingsthorpe	4400	2002-03-26
g8h-rtr	GRIMM	SHERRY	SANTOS	1962-11-14	F	Australia	Y	Mortdale	2223	2003-07-17
s6i-ksy	GOWAN	PAOLA	JULIANNE	1951-01-15	F	Australia	Y	Doreen	3754	2006-05-25
0a2-3gu	DIAS	SHIRLEY	LENORA	1973-10-22	F	Chad	Y	Chad		2014-02-14
ku0-mnx	EIDSON	ADELINE	DULCE	1958-10-21	F	Australia	Y	Mosman Park (WA)	6012	2000-01-19
o6n-7ph	WATERHOUSE	MARCEL	RANDALL	2008-09-01	M	Australia	Y	Drumborg	3304	2016-03-15
a6q-q5u	BRAZIL	DARLA	LULU	1995-03-07	F	Solomon Islands	Y	Solomon Islands		2010-05-27
6fj-3dm	RAYBURN	CLAIR	CHARLA	1937-02-24	F	Australia	Y	Golden Square	3555	2000-03-24
f80-hhp	OWINGS	ELDRIDGE	SAMMY	1985-04-25	M	Laos	Y	Laos		2003-10-15
xob-vf2	MACLEOD	DALE	STANFORD	1978-01-28	M	Australia	Y	Gaythorne	4051	2010-11-12
j34-8fg	SORG	ALISHA	ESTER	1970-07-13	F	Australia	N	Oak Flats	2529	1999-09-18
40c-u54	PHILLIP	AUDRA	MAGDALENE	1973-09-19	F	Australia	Y	Sunshine Beach	4567	2016-01-25
g8j-u4y	DARLING	CURT	RUEBEN	1958-09-07	M	Australia	Y	Whiteside	4503	2015-10-21
k4i-ji6	HARRISON	CHELSEA	RAMONA	2001-02-28	F	Finland	Y	Finland		2012-02-04
jyj-mom	PASS	ELENA	STAR	1941-02-23	F	Australia	Y	Princes Hill	3054	2009-10-06
s7q-20t	CHRISTOPHER	MIGUEL	KENT	2008-09-28	M	Samoa	Y	Samoa		2017-07-22
2k4-j7e	NATHAN	BEVERLEY	DEBBIE	1942-01-19	F	Australia	Y	Alma (Vic.)	3465	2000-01-01
fx5-8ve	MCCLURE	CORDELL	EMIL	1941-08-02	M	Australia	N	Firefly	2429	2003-05-21
jfj-4ts	HUNN	ORVILLE	MARLON	2006-05-13	M	Australia	Y	North Melbourne	3051	2011-06-27
3z0-unx	LITTLEJOHN	ONA	CASSIDY	2003-07-22	F	Australia	Y	Condell Park	2200	2011-05-13
g87-grn	MCELFRESH	DOROTHEA	FELECIA	1985-04-02	F	Australia	Y	Burdett	5253	2008-01-26
jd6-3jk	SWAN	WILLA	JEANE	1970-07-03	F	Australia	Y	Blairmount	2559	2006-12-14
e4o-q4g	PITZER	LEMUEL	OTHA	1983-06-26	M	Australia	Y	Beecher	4680	2005-03-11
hon-oik	BLACKMAN	MABLE	LEILA	1934-12-28	F	Australia	N	Woonona	2517	1998-02-19
gr7-fat	ROHN	JUAN	TRENA	2002-05-17	F	Australia	Y	Pottsville	2489	2013-06-09
vm5-g7w	GOGGINS	SHANELL	LORINDA	1957-02-16	F	Australia	Y	Wanaaring	2840	2011-04-15
rm5-o80	COWELL	MARIANN	CARIN	1979-06-28	F	South Africa	Y	South Africa		2001-02-24
jx3-s3v	BURMEISTER	JULIAN	GREGG	1951-12-27	M	Guatemala	Y	Guatemala		2008-08-24
92q-y09	BEAUPRE	EVANGELINA	TANESHA	1982-11-28	F	Australia	Y	Windellama	2580	2003-08-24
qd3-5b9	GRINSTEAD	JACKLYN	BRENDA	1933-04-13	F	Australia	Y	Mirrool	2665	1998-11-12
76m-rsk	LOOSE	ARNOLD	BLAINE	1955-02-22	M	Tunisia	Y	Tunisia		2003-07-20
g8c-fmm	STALNAKER	EVALYN	KAROL	1981-06-03	F	Australia	Y	Deepdale	6532	2014-06-23
x9h-7ta	DILLEY	MARCELO	ENRIQUE	1948-02-19	M	Turkey	Y	Turkey		2005-01-20
m4a-wk7	FRANCK	BROCK	JUSTIN	1970-04-28	M	Guatemala	Y	Guatemala		2011-08-04
oj2-8ub	LANDRETH	VON	IKE	1951-12-22	M	Equatorial Guinea	Y	Equatorial Guinea		2013-07-02
ieo-zj4	UNRUH	DIANN	THERESE	1950-08-22	F	Australia	Y	South Gundagai	2722	2001-05-01
bx5-wn7	MCGLOTHLIN	JACQUES	DOYLE	1964-04-04	M	Australia	Y	Lemon Tree Passage	2319	2001-09-23
u4r-dfq	GRISHAM	JERMAINE	ERICK	1962-09-23	M	Australia	Y	Priestdale	4127	2013-03-22
rfs-hfc	LITTLEFIELD	STEPHENIE	OLETA	1974-02-01	F	Australia	Y	Somerset (Tas.)	7322	2010-11-06
otm-0i5	TRIPLETT	DORI	LESSIE	1992-05-27	F	Australia	Y	Bentleigh East	3165	2007-04-05
n50-av2	NACE	STEPHANY	DOVIE	1950-06-17	F	Ethiopia	Y	Ethiopia		2008-08-09
xrp-0vk	BRISCOE	HERSHEL	DWAIN	1998-10-08	M	Azerbaijan	Y	Azerbaijan		2009-09-26
25f-0dd	MCLAMB	JOE	BAMBI	1975-09-08	F	Australia	Y	Kensington (NSW)	2033	2016-11-06
rrs-zbz	TRADER	JACKLYN	YVETTE	1956-08-17	F	Australia	Y	Clagiraba	4211	2003-06-13
ijk-2jn	MORIN	CATHY	DARLA	1960-09-25	F	Vietnam	Y	Vietnam		1998-06-17
4fx-nw7	MITCHUM	DEREK	CHESTER	1946-07-09	M	Argentina	Y	Argentina		2008-05-28
7cp-ig2	WEAKLEY	JACOB	ARNOLD	1964-08-12	M	Australia	Y	Lammermoor	4703	2002-02-12
7no-hp0	DULIN	BROOK	SHARA	1967-04-14	F	Australia	N	Mount Eliza	3930	2015-01-28
8qu-a2r	NEAL	GALE	MARION	1998-06-06	M	Australia	Y	Lange	6330	2005-02-09
wak-wcc	ROGER	BOBBI	WINNIE	1999-09-19	F	South Africa	Y	South Africa		2006-11-14
qtz-u5n	SCHUMAKER	HERB	EMORY	1945-11-26	M	Malawi	Y	Malawi		2010-02-24
bfi-3pp	IRWIN	MALIK	HUBERT	1934-06-23	M	China	N	China		2002-12-21
fb9-0zh	TRAVERS	CEDRICK	SOL	1972-02-14	M	Australia	Y	Kullogum	4660	2006-09-19
pd0-hqc	EBERLE	TAMERA	STEFANIE	1972-10-28	F	Australia	Y	McCrae	3938	2011-01-16
iqo-8v7	SUNDBERG	ERROL	MAJOR	1947-04-13	M	Australia	Y	Miller	2168	2003-03-26
yt0-m58	WOOLDRIDGE	NORMAN	MIGUEL	1978-02-22	M	Jordan	Y	Jordan		2003-11-20
mog-wuy	CORUM	LETTIE	MYONG	1940-05-20	F	Australia	Y	Suffolk Park	2481	2003-01-08
5sw-woh	FREY	ARDEN	WILLIAMS	1939-02-17	M	Australia	Y	Springvale (Vic.)	3171	2001-08-15
9mi-5tq	LEITH	NANETTE	MI	1977-09-21	F	Haiti	Y	Haiti		2001-11-21
cx3-5au	ERSKINE	KATHERYN	BETTY	1993-04-04	F	Brazil	Y	Brazil		2012-07-28
kuz-czk	PARTRIDGE	JERRY	DERICK	1960-06-14	M	Japan	Y	Japan		2006-11-07
d0u-xjw	SCHUMACHER	GIUSEPPE	DARRIN	1943-12-03	M	Armenia	Y	Armenia		2006-05-15
9aj-mbd	OHALLORAN	DANNY	PETER	1995-12-13	M	Australia	Y	Ballajura	6066	2000-09-15
zep-6ec	DORAN	WILLIAN	CHANG	1971-03-10	M	Australia	Y	Hamel	6215	2015-10-09
vji-ght	BRANTLEY	DWIGHT	ALTON	2003-11-01	M	Austria	Y	Austria		2017-03-02
4u2-ak6	SMITHERMAN	ROSELLA	LAKESHA	1977-09-07	F	Australia	Y	Charbon	2848	2006-05-06
qmf-kck	BAKER	MERLE	MERRILL	1952-01-04	M	Australia	Y	Rothwell	4022	2005-06-10
c7b-iyo	GILLUM	SARITA	JULIANN	1978-12-19	F	Australia	Y	Churchill (Vic.)	3842	2017-08-23
zyc-kuu	PONTON	STEWART	JAN	1999-06-24	M	Australia	Y	Hurlstone Park	2193	2010-07-08
wup-hcz	DAVIDSON	ALISHA	MARLYN	1940-07-28	F	Australia	Y	New Residence	5333	2002-09-18
8gv-wo9	BONEY	SIOBHAN	MAUD	1983-09-13	F	Australia	Y	Frankston North	3200	2006-08-20
cmr-f7z	MCMILLON	MEAGHAN	ELIA	1974-01-12	F	Brazil	Y	Brazil		2015-11-13
6nx-jst	CRUMB	PASQUALE	SAMUAL	1964-03-09	M	Jordan	Y	Jordan		2008-03-03
tzo-ge2	CHRISMAN	BENNETT	TOMMY	1989-04-28	M	Australia	Y	Mulgrave (Vic.)	3170	2008-11-10
74u-n2j	BLACKLEDGE	SHEENA	LYNDSAY	1995-05-05	F	Australia	Y	Rose Park	5067	2015-05-11
wc9-k6m	DEMOTT	BRIANA	DELORIS	2001-12-06	F	Australia	Y	Fingal Bay	2315	2008-02-03
kz3-5mg	BAUCOM	DOROTHY	PRISCILLA	1987-10-14	F	Georgia	Y	Georgia		1998-08-10
88w-wyd	HORNBUCKLE	DALE	SHARI	1984-09-07	F	Australia	N	Gladstone Central	4680	2009-01-13
swe-6r5	SPEER	DORTHA	FELECIA	1950-01-15	F	Niger	N	Niger		2012-09-08
ktw-72e	LEJEUNE	GLADIS	JENNIFER	1951-03-01	F	Somalia	Y	Somalia		2011-04-16
ujb-o79	DRAGON	TOMAS	JOSEF	1944-09-17	M	Hungary	N	Hungary		2009-03-08
sf2-8if	GUILD	GIOVANNA	MATILDA	2001-07-19	F	Australia	Y	Cabramurra	2720	2011-06-15
5vr-wa5	CROWL	ADRIANNE	NOVA	2002-03-24	F	Madagascar	Y	Madagascar		2016-01-17
x2c-cgg	DILLEY	SYBLE	VAN	1988-05-07	F	Argentina	Y	Argentina		2016-02-13
7fs-ajz	RATHBONE	JEROLD	BENNIE	1993-07-09	M	Australia	Y	O'Sullivan Beach	5166	2011-05-23
v7p-0pd	GOWAN	JIMMY	MATHEW	1980-10-23	M	Australia	Y	The Lakes	6556	2017-07-26
xz0-53i	KIPP	ROSAURA	TAMMIE	1987-12-12	F	Australia	Y	Millbridge	6232	2014-09-23
86n-v5e	FAULKNER	TEDDY	ORVILLE	1961-12-21	M	Australia	Y	Rocky Point (Weipa Town - Qld)	4874	2015-07-02
er7-px5	NAUMAN	LAVERNE	JANINE	1971-05-25	F	Brazil	Y	Brazil		2006-05-16
cj5-pu8	MURPHREE	LORIE	PAULINA	1960-02-19	F	Australia	Y	Holroyd	2142	2010-06-18
dm3-kuh	SESSOMS	JASPER	JULIAN	1975-05-21	M	Australia	Y	Mundijong	6123	2005-12-01
spc-bm7	LETSON	LUCIE	KRYSTYNA	2006-10-02	F	Oman	Y	Oman		2015-11-08
wyh-up7	BUTZ	DONOVAN	LUTHER	1989-06-22	M	Australia	Y	Harris Park	2150	2000-10-08
3ni-bwd	LONGENECKER	MICHALE	DARRICK	1989-03-08	M	Australia	Y	Wundowie	6560	2009-07-21
oqz-492	JACOBUS	GERMAN	RUSTY	1948-04-10	M	Australia	Y	Lytton	4178	2016-03-19
h4p-h93	HOLEMAN	CHEYENNE	JUDI	1947-02-09	F	Chad	N	Chad		2008-03-14
yw0-che	THOMSEN	TIFFANY	CARRI	1994-11-16	F	Netherlands	Y	Netherlands		2007-03-16
kgq-mpq	LINDEN	KELLY	THOMAS	2004-08-18	M	Australia	Y	Primbee	2502	2010-07-10
c2r-7zb	SULLIVAN	GUSTAVO	MODESTO	1957-10-28	M	Australia	Y	Castlemaine	3450	2007-08-07
uyg-9g6	SANGSTER	BRUCE	PEDRO	1966-06-20	M	Australia	Y	Leschenault	6233	2014-11-05
vut-ah2	MUSIC	MARIBEL	INGE	1943-09-05	F	Australia	Y	Davistown	2251	2003-05-18
nxk-90q	AHN	LESLIE	EMIL	1975-03-19	M	Australia	Y	Darlington (Sydney - NSW)	2008	2016-05-12
xjp-vct	STANDRIDGE	JULIANN	MARQUITA	2001-01-18	F	Australia	Y	Attwood	3049	2014-01-18
wgb-6xk	THORN	MARCELINO	LEON	1997-02-07	M	Australia	Y	Tarrington	3301	2012-04-23
zqn-wcs	BONNELL	ZELDA	DEANA	1987-01-11	F	Philippines	Y	Philippines		1998-01-04
4k4-rf9	LEVINSON	KENDALL	MICKEY	1979-12-12	M	Austria	Y	Austria		2004-11-07
kv6-r4c	LOOS	ANTONE	HIPOLITO	1962-03-19	M	Australia	Y	Glenorchy (Tas.)	7010	1998-01-09
7je-fjv	BRODIE	ORLANDO	FRANCESCO	1935-12-16	M	Australia	Y	Sorrento (WA)	6020	1998-04-24
ia0-s9z	NESTOR	DENNIS	BERT	1967-06-20	M	Estonia	Y	Estonia		2014-07-11
mib-a3f	PONDER	NANETTE	VERNITA	1977-09-02	F	Cambodia	Y	Cambodia		2003-02-23
90m-qwh	RONE	BOBBIE	GILBERTO	1967-06-10	M	Equatorial Guinea	Y	Equatorial Guinea		2007-06-14
9qo-v79	CASSITY	MATT	BOYD	1993-10-06	M	Australia	Y	Risdon Vale	7016	1998-12-18
3cg-w0s	BROWER	MOISES	GARTH	1949-01-20	M	Australia	Y	Lucas Heights	2234	2005-10-24
wy3-6si	PONTE	MORTON	CLINTON	1990-06-17	M	Australia	Y	Little Billabong	2644	2014-05-26
ium-8i6	LOEFFLER	LEA	FABIOLA	1954-07-02	F	Brazil	Y	Brazil		2006-05-10
7zh-hf5	BARA	LACY	FELIX	1943-04-01	M	Ghana	Y	Ghana		2004-01-11
ncf-p2e	DUFRESNE	STAN	ANDREW	1986-03-11	M	Australia	Y	Woodroffe	0830	2013-10-03
0v7-spm	LATOUR	NILSA	DINAH	1969-10-01	F	Guadeloupe	N	Guadeloupe		2010-04-12
rnm-5kz	BILLS	WILLIAN	JERALD	1982-10-23	M	Australia	Y	Nundah	4012	2016-04-04
679-v20	SAXTON	DARRIN	WERNER	1996-04-19	M	Timor Leste	Y	Timor Leste		2007-10-08
ue3-q4b	BOWE	CHUNG	BUSTER	1932-01-13	M	Australia	N	Lyndoch	5351	2000-08-24
rok-ici	RICCARDI	JODY	RUSSELL	1955-02-03	M	Italy	Y	Italy		2010-08-01
2se-b6v	BLANCHARD	WALKER	CHRISTOPER	2005-05-12	M	Vietnam	Y	Vietnam		2010-11-20
ab3-gzd	HARNESS	CLEMENTE	SCOT	1961-03-17	M	Malta	Y	Malta		2010-04-09
ap4-qwp	LEUNG	ROSEANNE	WINNIFRED	1943-01-04	F	Germany	N	Germany		2008-09-24
ydj-uze	MILLAR	PHILLIS	TANGELA	2002-10-25	F	New Zealand	Y	New Zealand		2015-02-23
7rg-25g	MAYLE	CHARLES	DAREN	1954-09-27	M	Australia	Y	Forrestfield	6058	2012-02-07
mh6-qzn	WAMPLER	GIOVANNA	BEVERLY	1965-12-18	F	Pakistan	Y	Pakistan		2009-08-23
oxv-5tj	KELLETT	BROCK	LOGAN	1957-06-17	M	Australia	Y	Yamba (NSW)	2464	1998-03-14
jf2-04i	BEYER	WINSTON	TOBIAS	1988-02-03	M	Australia	Y	Warners Bay	2282	2009-09-25
vf6-5as	CADWELL	DONTE	ALDO	1973-01-23	M	Lebanon	Y	Lebanon		2002-01-14
o7d-2nv	COFER	JARRETT	DAMIAN	1941-05-02	M	Cambodia	N	Cambodia		2003-06-26
bbm-e26	COFFEE	MELVINA	MELBA	1949-04-19	F	Australia	Y	South Turramurra	2074	2003-05-19
6vw-bf5	LANDERS	VIVIAN	SANJUANA	1940-06-08	F	Australia	Y	Peachester	4519	2001-06-25
khb-akc	BRYANT	EARNEST	RUDOLF	1984-09-10	M	Laos	Y	Laos		2014-10-03
09a-uec	SANSOM	SHANELL	TAMMIE	1967-01-16	F	Pakistan	Y	Pakistan		2003-01-25
4u8-9pg	MORRILL	DEWITT	LOGAN	1942-10-01	M	Australia	Y	Canley Vale	2166	1998-05-07
e8w-ipm	PERRY	TOBIAS	JIM	2000-07-19	M	Cameroon	Y	Cameroon		2004-11-02
aon-m4g	BRUN	LAURETTE	CHANA	1965-07-15	F	Guatemala	Y	Guatemala		1998-08-11
6t7-fvt	MATHERS	DARON	HERSCHEL	1999-01-28	M	South Korea	Y	South Korea		2003-10-12
vni-7a8	SLAYTON	CHEYENNE	MATILDA	1963-05-18	F	Germany	Y	Germany		2012-12-20
d9m-4sc	BELCHER	ESTER	BOBBIE	1972-02-10	F	Australia	Y	Illawong	2234	2002-08-11
unp-rgj	COLWELL	DALLAS	XAVIER	1957-06-07	M	Thailand	Y	Thailand		2015-10-11
hpf-y3e	DERBY	TRICIA	MOLLY	1956-05-27	F	Australia	Y	Wattle Glen	3096	2011-08-13
2xi-4if	CATHCART	DEANA	LIZA	1950-11-27	F	Pakistan	N	Pakistan		2012-06-14
phh-taa	MERCURIO	SANDRA	RHONDA	1940-02-19	F	Honduras	Y	Honduras		1998-09-12
tjk-5dg	HOM	NELLIE	ALANNA	1989-01-08	F	Australia	Y	Darlington (WA)	6070	2004-12-14
yik-rky	RALEY	JANINE	CARLA	1963-11-09	F	Australia	Y	Greenway	2900	2000-11-06
tgg-7cs	HAMBY	BENJAMIN	JAMEY	1987-02-08	M	Australia	Y	North Beach (SA)	5556	2012-04-15
7d6-rof	MCBRIDE	ILONA	ELISA	1982-07-16	F	Australia	Y	Bracken Ridge	4017	2013-05-26
joy-ike	BLUM	WESTON	OWEN	1993-11-06	M	Australia	Y	Kuraby	4112	2003-05-07
ge2-jom	ROBERTSON	JIMMY	WILLIAN	1989-04-18	M	Australia	Y	Cambooya	4358	2002-06-24
i8e-7hm	PENNELL	JIMMY	REED	1939-02-16	M	Australia	Y	Nabiac	2312	1999-08-22
adc-kec	JOURDAN	CHASTITY	JAMMIE	1997-06-21	F	Australia	Y	South West Rocks	2431	2008-08-11
uvm-bbo	ROBB	MANUAL	GERALD	1983-12-15	M	Australia	Y	Woolomin	2340	2000-10-05
37p-a8s	BEATTIE	REBEKAH	JAQUELINE	1974-03-18	F	Austria	Y	Austria		2001-06-10
ozy-kw9	WHITE	ROSALBA	IVETTE	1939-05-24	F	Burundi	N	Burundi		2004-12-18
5wq-o4u	JOLLEY	LES	BENITO	1982-04-28	M	Togo	Y	Togo		2012-09-19
mm5-kun	WOOLF	KANDI	KYLA	1951-11-22	F	Australia	Y	Bacchus Marsh	3340	1998-05-19
k28-jb0	DONNER	ELEANOR	TERESE	1953-12-15	F	Australia	Y	Cannon Hill	4170	2011-02-12
455-nep	KINSELLA	JAMI	KRISTAL	1984-08-28	F	Iraq	Y	Iraq		2006-02-20
qvj-opn	WEGENER	MAUREEN	JULIANN	1982-11-04	F	Australia	Y	Lower Plenty	3093	2007-03-11
u9h-nwd	DOWNES	REFUGIO	DENIS	1972-08-12	M	Niger	Y	Niger		2010-11-11
p28-xyq	ORSINI	GRADY	WALLY	1977-10-04	M	Australia	Y	Theresa Creek (Qld)	4723	2006-09-03
fog-7jf	BRYAN	HILTON	WINFRED	1950-01-02	M	Australia	N	Wolli Creek	2205	2011-04-16
w5s-i2u	CADDELL	LEILA	BOBBIE	1961-04-11	F	Australia	Y	Budgeree	3870	2010-09-08
pwh-45y	WILCOXSON	KENDALL	ALVIN	1963-10-11	M	Australia	Y	Longwood (Vic.)	3666	2014-05-07
ztn-0qf	SHREWSBURY	NEAL	LINO	1972-01-27	M	Australia	Y	Cannington	6107	2000-05-01
j9e-qfe	GERLACH	COLBY	JULES	1951-05-15	M	Australia	Y	Mayfield East	2304	2009-08-02
qt8-c7h	BREHM	JACOB	JACK	1985-11-02	M	Tunisia	Y	Tunisia		2009-10-23
btb-rp0	LONGO	EUSEBIO	BENITO	1980-01-28	M	Australia	Y	Orchard Hills	2748	2013-07-18
zak-jia	CUTHBERTSON	KOREY	ALPHONSE	1940-10-16	M	Guyana	Y	Guyana		2001-11-14
aa4-nch	EBERT	MARTI	JODIE	1938-01-19	F	China	Y	China		1998-11-06
j9y-4yv	LATTA	OLIVIA	PHYLISS	1999-08-08	F	Australia	Y	Hermitage Flat	2790	2014-03-19
xnb-6w7	FRAHM	DEVIN	STEPHANY	1974-06-12	F	Indonesia	Y	Indonesia		2000-08-02
h29-geo	BERKEY	DENNA	TERESE	1973-08-22	F	India	Y	India		2014-09-11
p2s-3zf	JAHN	DUDLEY	LAWERENCE	1959-05-17	M	Australia	Y	Richmond (Tas.)	7025	1998-11-03
58w-awk	PEACH	CAROL	ERASMO	1994-07-23	M	Netherlands	Y	Netherlands		2012-04-04
34y-bmc	SURRATT	EARL	CYRIL	1986-08-07	M	Madagascar	Y	Madagascar		2004-08-14
8m5-vio	ONEIL	LUPITA	MELODIE	1951-09-12	F	Australia	Y	Golden Point (Ballarat - Vic.)	3350	2002-06-23
o0p-pq8	WITTIG	DOLORES	ALYSSA	1964-11-28	F	Fiji	Y	Fiji		2014-03-06
09c-wxv	POLIZZI	NICOLETTE	CAROLYN	2002-04-07	F	Australia	Y	Ashbury	2193	2006-01-21
yi8-a5g	BHATTI	MINDY	THERESE	1943-03-05	F	Great Britain	Y	Great Britain		2008-11-08
ikj-nwh	PORTERFIELD	ESTELLA	CAMERON	2003-07-21	F	Australia	Y	Pooraka	5095	2017-04-16
xr6-k56	ODEA	JANEY	TRUDY	1996-07-02	F	Australia	Y	Silverwater (Auburn - NSW)	2128	2010-04-21
6jk-0or	BUFORD	VICENTA	LAURA	1948-05-05	F	Lebanon	Y	Lebanon		2001-05-17
fv8-qtn	MATTOX	ARON	BRYON	1994-08-26	M	Australia	Y	Algester	4115	2013-02-17
